Id,username,name,is_crawled
565,user565,Adored Herring,False
566,user566,Adored Hippo,False
567,user567,Adored Hornet,False
568,user568,Adored Horse,False
569,user569,Adored Hummingbird,False
570,user570,Adored Hyena,False
571,user571,Adored Ibex,False
572,user572,Adored Ibis,False
573,user573,Adored Impala,False
574,user574,Adored Jackal,False
575,user575,Adored Jaguar,False
576,user576,Adored Jay,False
577,user577,Adored Jellyfish,False
578,user578,Adored Kangaroo,False
579,user579,Adored Kinkajou,False
580,user580,Adored Koala,False
581,user581,Adored Komodo dragon,False
582,user582,Adored Kouprey,False
583,user583,Adored Kudu,False
584,user584,Adored Lapwing,False
585,user585,Adored Lark,False
586,user586,Adored Lemur,False
587,user587,Adored Leopard,False
588,user588,Adored Lion,False
589,user589,Adored Llama,False
590,user590,Adored Lobster,False
591,user591,Adored Locust,False
592,user592,Adored Loris,False
593,user593,Adored Louse,False
594,user594,Adored Lyrebird,False
595,user595,Adored Magpie,False
596,user596,Adored Mallard,False
597,user597,Adored Mammoth,False
598,user598,Adored Manatee,False
599,user599,Adored Mandrill,False
600,user600,Adored Mink,False
601,user601,Adored Mole,False
602,user602,Adored Mongoose,False
603,user603,Adored Monkey,False
604,user604,Adored Moose,False
605,user605,Adored Mosquito,False
606,user606,Adored Mouse,False
607,user607,Adored Narwhal,False
608,user608,Adored Newt,False
609,user609,Adored Nightingale,False
610,user610,Adored Octopus,False
611,user611,Adored Okapi,False
612,user612,Adored Opossum,False
613,user613,Adored Ostrich,False
614,user614,Adored Otter,False
615,user615,Adored Owl,False
616,user616,Adored Oyster,False
617,user617,Adored Panda,False
618,user618,Adored Panther,False
619,user619,Adored Parrot,False
620,user620,Adored Partridge,False
621,user621,Adored Peafowl,False
622,user622,Adored Pelican,False
623,user623,Adored Penguin,False
624,user624,Adored Pheasant,False
625,user625,Adored Pig,False
626,user626,Adored Pigeon,False
627,user627,Adored Polar bear,False
628,user628,Adored Pony,False
629,user629,Adored Porcupine,False
630,user630,Adored Porpoise,False
631,user631,Adored Prairie dog,False
632,user632,Adored Pug,False
633,user633,Adored Quail,False
634,user634,Adored Quelea,False
635,user635,Adored Quetzal,False
636,user636,Adored Rabbit,False
637,user637,Adored Raccoon,False
638,user638,Adored Ram,False
639,user639,Adored Rat,False
640,user640,Adored Raven,False
641,user641,Adored Red deer,False
642,user642,Adored Red panda,False
643,user643,Adored Reindeer,False
644,user644,Adored Rhinoceros,False
645,user645,Adored Rook,False
646,user646,Adored Salamander,False
647,user647,Adored Salmon,False
648,user648,Adored Sand dollar,False
649,user649,Adored Sandpiper,False
650,user650,Adored Sardine,False
651,user651,Adored Sea lion,False
652,user652,Adored Seahorse,False
653,user653,Adored Seal,False
654,user654,Adored Shark,False
655,user655,Adored Sheep,False
656,user656,Adored Shrew,False
657,user657,Adored Siamang,False
658,user658,Adored Skunk,False
659,user659,Adored Sloth,False
660,user660,Adored Snail,False
661,user661,Adored Snake,False
662,user662,Adored Spider,True
663,user663,Adored Squid,False
664,user664,Adored Squirrel,False
665,user665,Adored Starling,False
666,user666,Adored Stegosaurus,False
667,user667,Adored Swan,False
668,user668,Adored Tapir,False
669,user669,Adored Tarsier,False
670,user670,Adored Termite,False
671,user671,Adored Tiger,False
672,user672,Adored Toad,False
673,user673,Adored Turkey,False
674,user674,Adored Vicuña,False
675,user675,Adored Wallaby,False
676,user676,Adored Walrus,False
677,user677,Adored Wasp,False
678,user678,Adored Water buffalo,False
679,user679,Adored Weasel,False
680,user680,Adored Whale,False
681,user681,Adored Wolf,False
682,user682,Adored Wolverine,False
683,user683,Adored Wombat,False
684,user684,Adored Wren,False
685,user685,Adored Yak,False
686,user686,Adored Zebra,False
687,user687,Adored Angelfish,False
688,user688,Adored Bearded dragon,False
689,user689,Adored Capybara,False
690,user690,Adored Cardinal,False
691,user691,Adored Cougar,False
692,user692,Adored Dingo,False
693,user693,Adored Egret,False
694,user694,Adored Iguana,False
695,user695,Adored Jackrabbit,False
696,user696,Adored Kookaburra,False
697,user697,Adored Lechwe,False
698,user698,Adored Ocelot,False
699,user699,Adored Orca,False
700,user700,Adored Stork,False
701,user701,Adored Tortoise,False
702,user702,Adventurous Aardvark,False
703,user703,Adventurous Albatross,False
704,user704,Adventurous Alligator,False
705,user705,Adventurous Alpaca,False
706,user706,Adventurous Ant,False
707,user707,Adventurous Anteater,False
708,user708,Adventurous Antelope,False
709,user709,Adventurous Ape,False
710,user710,Adventurous Armadillo,True
711,user711,Adventurous Baboon,False
712,user712,Adventurous Badger,False
713,user713,Adventurous Barracuda,False
714,user714,Adventurous Bat,False
715,user715,Adventurous Bear,False
716,user716,Adventurous Beaver,False
717,user717,Adventurous Bee,False
718,user718,Adventurous Bird,False
719,user719,Adventurous Bison,False
720,user720,Adventurous Boar,False
721,user721,Adventurous Buffalo,False
722,user722,Adventurous Butterfly,False
723,user723,Adventurous Camel,False
724,user724,Adventurous Caribou,False
725,user725,Adventurous Cassowary,False
726,user726,Adventurous Cat,False
727,user727,Adventurous Caterpillar,False
728,user728,Adventurous Cattle,False
729,user729,Adventurous Chameleon,False
730,user730,Adventurous Chamois,False
731,user731,Adventurous Cheetah,False
732,user732,Adventurous Chicken,False
733,user733,Adventurous Chimpanzee,False
734,user734,Adventurous Chinchilla,False
735,user735,Adventurous Chough,False
736,user736,Adventurous Coati,False
737,user737,Adventurous Cobra,False
738,user738,Adventurous Cockroach,False
739,user739,Adventurous Cod,False
